#Accession	Length	Protein_name	Protein_name_alternative	Gene_name	Organism_scientific	Organism_common	Function
C0HJM4	71	Disintegrin simusmin	?	?	Crotalus simus	Central American rattlesnake	Inhibits ADP- (IC(50)=56 nM) and collagen-induced (IC(50)=49 nM) aggregation of human platelets. In vitro, inhibits adhesion of endothelial cells to vitronectin, type-I collagen and, to a lower degree, fibronectin and laminin.
C0HJM5	72	Disintegrin sasaimin	?	?	Cerrophidion sasai	Costa Rica montane pitviper	Inhibits ADP- (IC(50)=66 nM) and collagen-induced (IC(50)=100 nM) aggregation of human platelets. In vitro, inhibits adhesion of endothelial cells to vitronectin, type-I collagen and, to a lower degree, fibronectin and laminin.
C0HK50	71	Disintegrin tzabcanin	?	?	Crotalus tzabcan	Yucatan neotropical rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen (By similarity). Inhibits cell adhesion to vitronectin, probably by blocking its receptor integrin alpha-V/beta-3 (ITGAV/ITGB3), and to fibronectin in vitro (PubMed:26163300, PubMed:27060015). Shows little to no cytotoxicity in vitro (PubMed:26163300, PubMed:27060015).
C9E1R9	478	Zinc metalloproteinase/disintegrin VMP-II	?	?	Crotalus viridis viridis	Prairie rattlesnake	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin viridistatin-2: This recombinant protein inhibits ADP-induced platelet aggregation in whole human blood and this effect is concentration-dependent with an IC(50) of 34 nM.
D2YW39	135	Snaclec rhodocetin subunit gamma	?	?	Calloselasma rhodostoma	Malayan pit viper	Potent inhibitor of collagen-induced platelet aggregation. It acts by binding to the integrin alpha2A domain and blocks collagen binding to integrin alpha-2/beta-1 (ITGA2/ITGB1). The gamma/delta subunits mainly contribute to this activity.
D2YW40	124	Snaclec rhodocetin subunit delta	?	?	Calloselasma rhodostoma	Malayan pit viper	Potent inhibitor of collagen-induced platelet aggregation. It acts by binding to the integrin alpha2A domain and blocks collagen binding to integrin alpha-2/beta-1 (ITGA2/ITGB1). The gamma/delta subunits mainly contribute to this activity.
E9NW27	484	Zinc metalloproteinase/disintegrin PMMP-2	?	?	Protobothrops mucrosquamatus	Taiwan habu	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin trimucrin: Inhibits platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3).
J9Z332	488	Zinc metalloproteinase-disintegrin VMP-II	Disintegrin r-Cam-dis / Snake venom metalloproteinase (SVMP)	?	Crotalus adamanteus	Eastern diamondback rattlesnake	Zinc metalloproteinase-disintegrin VMP-II: inhibits ADP-induced platelet aggregation (probably by binding integrin alpha-IIb/beta-3 (ITGA2B/ITGB3)) and degrades fibrinogen. Recombinant disintegrin r-Cam-dis (413-488): this recombinant protein inhibits platelet adhesion to fibrinogen (IC(50) is 1 nM), inhibits collagen- (IC(50) is 18 nM) and ADP-induced (IC(50) is 6 nM) platelet aggregation, and also inhibits platelet function on clot retraction. May act by binding integrin alpha-IIb/beta-3 (ITGA2B/ITGB3).
O15230	3695	Laminin subunit alpha-5	Laminin-10 subunit alpha / Laminin-11 subunit alpha / Laminin-15 subunit alpha	LAMA5	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
O18977	4135	Tenascin-X	?	TN-X	Bos taurus	Bovine	?
O25272	237	Cag pathogenicity island protein (Cag18)	?	HP_0539	Helicobacter pylori (strain ATCC 700392 / 26695)	?	?
O35474	480	EGF-like repeat and discoidin I-like domain-containing protein 3	Developmentally-regulated endothelial cell locus 1 protein / Integrin-binding protein DEL1	Edil3	Mus musculus	Mouse	Promotes adhesion of endothelial cells through interaction with the alpha-v/beta-3 integrin receptor. Inhibits formation of vascular-like structures. May be involved in regulation of vascular morphogenesis of remodeling in embryonic development.
O43827	346	Angiopoietin-related protein 7	Angiopoietin-like factor / Angiopoietin-like protein 7 / Cornea-derived transcript 6 protein	ANGPTL7	Homo sapiens	Human	Has a role in the formation and organization of the extracellular matrix. In the eye, it functions as a mediator of dexamethasone-induced matrix deposition in the trabecular meshwork, the tissue responsible for the outflow of the ocular aqueous humor and for the maintenance of intraocular pressure (PubMed:21199193). Is a negative regulator of angiogenesis in the cornea, and plays a major role in maintaining corneal avascularity and transparency (PubMed:25622036).
O43854	480	EGF-like repeat and discoidin I-like domain-containing protein 3	Developmentally-regulated endothelial cell locus 1 protein / Integrin-binding protein DEL1	EDIL3	Homo sapiens	Human	Promotes adhesion of endothelial cells through interaction with the alpha-v/beta-3 integrin receptor. Inhibits formation of vascular-like structures. May be involved in regulation of vascular morphogenesis of remodeling in embryonic development.
O93515	146	Zinc metalloproteinase-disintegrin salmosin-3	Snake venom metalloproteinase (SVMP)	?	Gloydius brevicaudus	Korean slamosa snake	Snake venom zinc metalloproteinase that inhibits ADP-induced platelet aggregation (probably by binding integrin alpha-IIb/beta-3 (ITGA2B/ITGB3)) and degrades fibrinogen.
O95631	604	Netrin-1	Epididymis tissue protein Li 131P	NTN1	Homo sapiens	Human	Netrins control guidance of CNS commissural axons and peripheral motor axons. Its association with either DCC or some UNC5 receptors will lead to axon attraction or repulsion, respectively. Binding to UNC5C might cause dissociation of UNC5C from polymerized TUBB3 in microtubules and thereby lead to increased microtubule dynamics and axon repulsion (PubMed:28483977). Involved in dorsal root ganglion axon projection towards the spinal cord (PubMed:28483977). It also serves as a survival factor via its association with its receptors which prevent the initiation of apoptosis. Involved in tumorigenesis by regulating apoptosis (PubMed:15343335).
P00450	1065	Ceruloplasmin	Ferroxidase	CP	Homo sapiens	Human	Ceruloplasmin is a blue, copper-binding (6-7 atoms per molecule) glycoprotein. It has ferroxidase activity oxidizing Fe(2+) to Fe(3+) without releasing radical oxygen species. It is involved in iron transport across the cell membrane. Provides Cu(2+) ions for the ascorbate-mediated deaminase degradation of the heparan sulfate chains of GPC1. May also play a role in fetal lung development or pulmonary antioxidant defense (By similarity).
P00734	622	Prothrombin	Coagulation factor II	F2	Homo sapiens	Human	Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing.
P01024	1663	Complement C3	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1	C3	Homo sapiens	Human	C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates. Derived from proteolytic degradation of complement C3, C3a anaphylatoxin is a mediator of local inflammatory process. In chronic inflammation, acts as a chemoattractant for neutrophils (By similarity). It induces the contraction of smooth muscle, increases vascular permeability and causes histamine release from mast cells and basophilic leukocytes. C3-beta-c: Acts as a chemoattractant for neutrophils in chronic inflammation. Acylation stimulating protein: Adipogenic hormone that stimulates triglyceride (TG) synthesis and glucose transport in adipocytes, regulating fat storage and playing a role in postprandial TG clearance. Appears to stimulate TG synthesis via activation of the PLC, MAPK and AKT signaling pathways. Ligand for C5AR2. Promotes the phosphorylation, ARRB2-mediated internalization and recycling of C5AR2 (PubMed:8376604, PubMed:2909530, PubMed:9059512, PubMed:10432298, PubMed:15833747, PubMed:16333141, PubMed:19615750).
P01137	390	Transforming growth factor beta-1 proprotein	?	TGFB1	Homo sapiens	Human	Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively. Latency-associated peptide: Required to maintain the Transforming growth factor beta-1 (TGF-beta-1) chain in a latent state during storage in extracellular matrix (PubMed:28117447). Associates non-covalently with TGF-beta-1 and regulates its activation via interaction with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS, that control activation of TGF-beta-1 (PubMed:2022183, PubMed:8617200, PubMed:8939931, PubMed:19750484, PubMed:22278742, PubMed:19651619). Interaction with LRRC33/NRROS regulates activation of TGF-beta-1 in macrophages and microglia (Probable). Interaction with LRRC32/GARP controls activation of TGF-beta-1 on the surface of activated regulatory T-cells (Tregs) (PubMed:19750484, PubMed:22278742, PubMed:19651619). Interaction with integrins (ITGAV:ITGB6 or ITGAV:ITGB8) results in distortion of the Latency-associated peptide chain and subsequent release of the active TGF-beta-1 (PubMed:22278742, PubMed:28117447). Transforming growth factor beta-1: Multifunctional protein that regulates the growth and differentiation of various cell types and is involved in various processes, such as normal development, immune function, microglia function and responses to neurodegeneration (By similarity). Activation into mature form follows different steps: following cleavage of the proprotein in the Golgi apparatus, Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains remain non-covalently linked rendering TGF-beta-1 inactive during storage in extracellular matrix (PubMed:29109152). At the same time, LAP chain interacts with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS that control activation of TGF-beta-1 and maintain it in a latent state during storage in extracellular milieus (PubMed:2022183, PubMed:8617200, PubMed:8939931, PubMed:19750484, PubMed:22278742, PubMed:19651619). TGF-beta-1 is released from LAP by integrins (ITGAV:ITGB6 or ITGAV:ITGB8): integrin-binding to LAP stabilizes an alternative conformation of the LAP bowtie tail and results in distortion of the LAP chain and subsequent release of the active TGF-beta-1 (PubMed:22278742, PubMed:28117447). Once activated following release of LAP, TGF-beta-1 acts by binding to TGF-beta receptors (TGFBR1 and TGFBR2), which transduce signal (PubMed:20207738). While expressed by many cells types, TGF-beta-1 only has a very localized range of action within cell environment thanks to fine regulation of its activation by Latency-associated peptide chain (LAP) and 'milieu molecules' (By similarity). Plays an important role in bone remodeling: acts as a potent stimulator of osteoblastic bone formation, causing chemotaxis, proliferation and differentiation in committed osteoblasts (By similarity). Can promote either T-helper 17 cells (Th17) or regulatory T-cells (Treg) lineage differentiation in a concentration-dependent manner (By similarity). At high concentrations, leads to FOXP3-mediated suppression of RORC and down-regulation of IL-17 expression, favoring Treg cell development (By similarity). At low concentrations in concert with IL-6 and IL-21, leads to expression of the IL-17 and IL-23 receptors, favoring differentiation to Th17 cells (By similarity). Stimulates sustained production of collagen through the activation of CREB3L1 by regulated intramembrane proteolysis (RIP) (PubMed:25310401). Mediates SMAD2/3 activation by inducing its phosphorylation and subsequent translocation to the nucleus (PubMed:25893292, PubMed:29483653, PubMed:30696809). Can induce epithelial-to-mesenchymal transition (EMT) and cell migration in various cell types (PubMed:25893292, PubMed:30696809).
P01574	187	Interferon beta	Fibroblast interferon	IFNB1	Homo sapiens	Human	Has antiviral, antibacterial and anticancer activities.
P01584	269	Interleukin-1 beta	Catabolin	IL1B	Homo sapiens	Human	Potent pro-inflammatory cytokine (PubMed:3920526, PubMed:10653850, PubMed:12794819). Initially discovered as the major endogenous pyrogen, induces prostaglandin synthesis, neutrophil influx and activation, T-cell activation and cytokine production, B-cell activation and antibody production, and fibroblast proliferation and collagen production (PubMed:3920526). Promotes Th17 differentiation of T-cells. Synergizes with IL12/interleukin-12 to induce IFNG synthesis from T-helper 1 (Th1) cells (PubMed:10653850). Plays a role in angiogenesis by inducing VEGF production synergistically with TNF and IL6 (PubMed:12794819). Involved in transduction of inflammation downstream of pyroptosis: its mature form is specifically released in the extracellular milieu by passing through the gasdermin-D (GSDMD) pore (PubMed:33377178, PubMed:33883744).
P02452	1464	Collagen alpha-1(I) chain	Alpha-1 type I collagen	COL1A1	Homo sapiens	Human	Type I collagen is a member of group I collagen (fibrillar forming collagen).
P02453	1463	Collagen alpha-1(I) chain	Alpha-1 type I collagen	COL1A1	Bos taurus	Bovine	Type I collagen is a member of group I collagen (fibrillar forming collagen).
P02458	1487	Collagen alpha-1(II) chain	Alpha-1 type II collagen	COL2A1	Homo sapiens	Human	Type II collagen is specific for cartilaginous tissues. It is essential for the normal embryonic development of the skeleton, for linear growth and for the ability of cartilage to resist compressive forces.
P02462	1669	Collagen alpha-1(IV) chain	?	COL4A1	Homo sapiens	Human	Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen. Arresten, comprising the C-terminal NC1 domain, inhibits angiogenesis and tumor formation. The C-terminal half is found to possess the anti-angiogenic activity. Specifically inhibits endothelial cell proliferation, migration and tube formation.
P02468	1607	Laminin subunit gamma-1	Laminin B2 chain / Laminin-1 subunit gamma / Laminin-10 subunit gamma / Laminin-11 subunit gamma / Laminin-2 subunit gamma / Laminin-3 subunit gamma / Laminin-4 subunit gamma / Laminin-6 subunit gamma / Laminin-7 subunit gamma / Laminin-8 subunit gamma / Laminin-9 subunit gamma / S-laminin subunit gamma (S-LAM gamma)	Lamc1	Mus musculus	Mouse	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
